"","","Wales "
"All industries ","",1336300
"All industries ","Agriculture, forestry and fishing ",37700
"","Production ",156700
"","Construction ",96600
"","Wholesale, retail, transport, hotels and food ",345400
"","Information and communication ",27800
"","Finance and insurance activities ",33800
"","Real estate activities ",13500
"","Professional, scientific and technical activities; administrative and support service activities ",144800
"","Public administration, defence, education and health ",415600
"","Other service activities ",64200


